time,X,Y,Z,
0.2475, 0.0101781, -3.56765e-06, -0.285783,
0.25, 0.0104588, -3.65205e-06, -0.291602,
0.2525, 0.0107452, -3.72432e-06, -0.297481,
0.255, 0.0110369, -3.79059e-06, -0.303424,
0.2575, 0.0113343, -3.85964e-06, -0.309431,
0.26, 0.0116381, -3.93685e-06, -0.315499,
0.2625, 0.011949, -4.02058e-06, -0.321628,
0.265, 0.0122673, -4.10397e-06, -0.327814,
0.2675, 0.0125926, -4.18021e-06, -0.334059,
0.27, 0.0129247, -4.24756e-06, -0.340366,
0.2725, 0.0132633, -4.31038e-06, -0.346737,
0.275, 0.0136085, -4.37565e-06, -0.353171,
0.2775, 0.0139604, -4.44757e-06, -0.359669,
0.28, 0.0143192, -4.52437e-06, -0.366227,
0.2825, 0.014685, -4.59976e-06, -0.372845,
0.285, 0.0150574, -4.66779e-06, -0.379524,
0.2875, 0.0154363, -4.7273e-06, -0.386267,
0.29, 0.0158217, -4.78266e-06, -0.393074,
0.2925, 0.016214, -4.84023e-06, -0.399946,
0.295, 0.0166136, -4.90345e-06, -0.406882,
0.2975, 0.0170209, -4.97028e-06, -0.413879,
0.3, 0.0174364, -5.03489e-06, -0.420939,
0.3025, 0.0178602, -5.09233e-06, -0.428061,
0.305, 0.0182926, -5.14234e-06, -0.435248,
0.3075, 0.0187342, -5.18934e-06, -0.442501,
0.31, 0.0191856, -5.23889e-06, -0.44982,
0.3125, 0.0196474, -5.29318e-06, -0.457202,
0.315, 0.0201202, -5.34932e-06, -0.464648,
0.3175, 0.0206042, -5.40167e-06, -0.472157,
0.32, 0.0210998, -5.4463e-06, -0.479731,
0.3225, 0.0216073, -5.48392e-06, -0.487372,
0.325, 0.0221271, -5.51914e-06, -0.495078,
0.3275, 0.0226598, -5.55653e-06, -0.502851,
0.33, 0.0232057, -5.59685e-06, -0.510689,
0.3325, 0.0237652, -5.63647e-06, -0.518592,
0.335, 0.0243385, -5.67035e-06, -0.526559,
0.3375, 0.0249258, -5.69615e-06, -0.534594,
0.34, 0.0255276, -5.71606e-06, -0.542695,
0.3425, 0.0261446, -5.73515e-06, -0.550863,
0.345, 0.0268075, -5.78656e-06, -0.559093,
0.3475, 0.0275459, -5.83386e-06, -0.567363,
0.35, 0.0283571, -5.86036e-06, -0.575652,
0.3525, 0.0292342, -5.87648e-06, -0.583955,
0.355, 0.0301603, -5.90381e-06, -0.592289,
0.3575, 0.0311127, -5.95429e-06, -0.600678,
0.36, 0.0320738, -6.02548e-06, -0.609134,
0.3625, 0.0330452, -6.08117e-06, -0.617643,
0.365, 0.0341373, -6.00114e-06, -0.626029,
0.3675, 0.0352673, -5.87227e-06, -0.634391,
0.37, 0.0364637, -5.936e-06, -0.642724,
0.3725, 0.0377019, -6.60612e-06, -0.651057,
0.375, 0.0389288, -7.71688e-06, -0.659374,
0.3775, 0.0402185, -8.28905e-06, -0.667242,
0.38, 0.0417, -7.99617e-06, -0.67444,
0.3825, 0.0431214, -6.66016e-06, -0.681358,
0.385, 0.0444682, -4.66426e-06, -0.688124,
0.3875, 0.0457461, -3.69927e-06, -0.694672,
0.39, 0.0470755, -4.27841e-06, -0.701065,
0.3925, 0.0484227, -5.20522e-06, -0.707346,
0.395, 0.0498467, -2.50497e-07, -0.713511,
0.3975, 0.0513092, 6.48111e-07, -0.719628,
0.4, 0.0527453, -5.3019e-07, -0.725784,
0.4025, 0.054126, -1.68836e-06, -0.732005,
0.405, 0.055471, -2.80584e-06, -0.738193,
0.4075, 0.0568325, -5.78497e-07, -0.744384,
0.41, 0.0577766, 2.52549e-06, -0.74959,
0.4125, 0.0578192, 4.88929e-06, -0.752934,
0.415, 0.0577904, 4.53348e-06, -0.756241,
0.4175, 0.0577061, 2.28506e-06, -0.759624,
0.42, 0.0575626, 1.62439e-06, -0.763091,
0.4225, 0.0573994, 3.48223e-06, -0.766633,
0.425, 0.0573763, 2.2813e-06, -0.770288,
0.4275, 0.0575165, -6.86927e-06, -0.771399,
0.43, 0.0577099, -1.13792e-05, -0.77099,
0.4325, 0.0579423, -1.45015e-05, -0.770269,
0.435, 0.0581615, -1.74932e-05, -0.769472,
0.4375, 0.0583511, -2.17283e-05, -0.768699,
0.44, 0.0585432, -2.71585e-05, -0.767955,
0.4425, 0.0587663, -3.23364e-05, -0.767247,
0.445, 0.0590299, -3.62039e-05, -0.766577,
0.4475, 0.0593139, -3.968e-05, -0.765959,
0.45, 0.0595877, -4.31981e-05, -0.765406,
0.4525, 0.0598319, -4.79208e-05, -0.764923,
0.455, 0.0600525, -5.3866e-05, -0.764512,
0.4575, 0.0602697, -5.99169e-05, -0.764172,
0.46, 0.0604971, -6.50019e-05, -0.763903,
0.4625, 0.0607284, -6.8885e-05, -0.763707,
0.465, 0.0609415, -7.23499e-05, -0.76359,
0.4675, 0.0611108, -7.59873e-05, -0.763543,
0.47, 0.0612286, -8.11969e-05, -0.76356,
0.4725, 0.0613161, -8.6825e-05, -0.763652,
0.475, 0.0613947, -9.20182e-05, -0.763811,
0.4775, 0.0614209, -9.49686e-05, -0.764082,
0.48, 0.0613386, -9.73877e-05, -0.764515,
0.4825, 0.0612123, -9.0852e-05, -0.765047,
0.485, 0.0611059, -8.27518e-05, -0.765603,
0.4875, 0.0610414, -9.62318e-05, -0.766217,
0.49, 0.0610356, -0.00010093, -0.766878,
0.4925, 0.0610584, -0.000113745, -0.766935,
0.495, 0.0610909, -0.000118551, -0.766745,
0.4975, 0.0611184, -0.000127499, -0.766558,
0.5, 0.0611455, -0.000138067, -0.766385,
0.5025, 0.0611809, -0.000148337, -0.766236,
0.505, 0.0612291, -0.000156323, -0.766118,
0.5075, 0.0612835, -0.000159712, -0.766021,
0.51, 0.0613332, -0.000162074, -0.765944,
0.5125, 0.061367, -0.000165899, -0.765881,
0.515, 0.0613834, -0.000170964, -0.765828,
0.5175, 0.0613911, -0.000175471, -0.765784,
0.52, 0.0614012, -0.000172675, -0.765743,
0.5225, 0.0614214, -0.000155581, -0.765704,
0.525, 0.0614471, -0.000131018, -0.765667,
0.5275, 0.0614711, -0.000101788, -0.765632,
0.53, 0.0614915, -7.71046e-05, -0.765592,
0.5325, 0.0615132, -6.53395e-05, -0.765548,
0.535, 0.0615371, -5.73385e-05, -0.765505,
0.5375, 0.0615667, -4.91504e-05, -0.765462,
0.54, 0.0616032, -4.01069e-05, -0.765418,
0.5425, 0.0616434, -3.15819e-05, -0.765373,
0.545, 0.0616822, -2.52831e-05, -0.765328,
0.5475, 0.0617168, -2.16163e-05, -0.765284,
0.55, 0.0617484, -1.91117e-05, -0.765241,
0.5525, 0.0617808, -1.58052e-05, -0.765197,
0.555, 0.0618177, -1.05569e-05, -0.765152,
0.5575, 0.06186, -3.94967e-06, -0.765106,
0.56, 0.0619051, 2.25324e-06, -0.76506,
0.5625, 0.0619488, 6.3777e-06, -0.765013,
0.565, 0.0619811, 6.95192e-06, -0.764971,
0.5675, 0.0620109, 6.79719e-06, -0.764927,
0.57, 0.0620399, 8.19275e-06, -0.764883,
0.5725, 0.0620641, 1.26529e-05, -0.76484,
0.575, 0.0620929, 1.72094e-05, -0.764793,
0.5775, 0.0621245, 2.03032e-05, -0.764744,
0.58, 0.0621561, 2.12365e-05, -0.764695,
0.5825, 0.0621864, 2.08078e-05, -0.764647,
0.585, 0.062216, 2.03301e-05, -0.764599,
0.5875, 0.0622472, 2.06352e-05, -0.764552,
0.59, 0.0622815, 2.16864e-05, -0.764505,
0.5925, 0.0623192, 2.23702e-05, -0.764458,
0.595, 0.0623587, 2.1631e-05, -0.764412,
0.5975, 0.0623984, 1.91893e-05, -0.764367,
0.6, 0.0624373, 1.57063e-05, -0.764323,
0.6025, 0.0624755, 1.2227e-05, -0.76428,
0.605, 0.0625145, 9.33393e-06, -0.764238,
0.6075, 0.0625554, 6.96233e-06, -0.764197,
0.61, 0.0625983, 4.40108e-06, -0.764156,
0.6125, 0.0626422, 1.00704e-06, -0.764116,
0.615, 0.0626859, -3.37132e-06, -0.764077,
0.6175, 0.0627284, -8.24005e-06, -0.76404,
0.62, 0.0627648, -1.43524e-05, -0.764007,
0.6225, 0.0627997, -2.01017e-05, -0.763975,
0.625, 0.0628356, -2.49264e-05, -0.763942,
0.6275, 0.0628722, -2.93903e-05, -0.763911,
0.63, 0.0629088, -3.40945e-05, -0.763881,
0.6325, 0.0629442, -3.93396e-05, -0.763852,
0.635, 0.0629728, -4.30063e-05, -0.763829,
0.6375, 0.0629972, -4.54113e-05, -0.763807,
0.64, 0.0630208, -4.73496e-05, -0.763786,
0.6425, 0.063036, -4.75672e-05, -0.763756,
0.645, 0.0630252, -3.90811e-05, -0.763654,
