t,tau1,tau2,ddq1,ddq2,q1,q2,X,Y,
0.07375,-100,-43.5365,-80.1649,65.7268,0.359084,-0.926609,0.186135,1.77944,
0.075,-100,-42.5646,-82.0461,68.9673,0.366764,-0.949402,0.191637,1.7685,
0.07625,-100,-41.5348,-83.9073,72.1298,0.374316,-0.972088,0.197171,1.75734,
0.0775,-100,-40.4493,-85.7469,75.212,0.381737,-0.994661,0.202733,1.74598,
0.07875,-100,-39.3104,-87.5639,78.2122,0.389023,-1.01712,0.208322,1.73442,
0.08,-100,-38.1204,-89.3572,81.1297,0.396174,-1.03945,0.213933,1.72267,
0.08125,-100,-36.8818,-91.1262,83.964,0.403184,-1.06165,0.219564,1.71074,
0.0825,-100,-35.597,-92.8702,86.7155,0.410052,-1.08373,0.225212,1.69862,
0.08375,-100,-34.2686,-94.5887,89.3845,0.416775,-1.10567,0.230876,1.68634,
0.085,-100,-32.8992,-96.2812,91.9722,0.42335,-1.12747,0.236551,1.67389,
0.08625,-100,-31.4915,-97.9475,94.4796,0.429774,-1.14913,0.242236,1.66128,
0.0875,-100,-30.0482,-99.5872,96.9082,0.436046,-1.17063,0.247927,1.64853,
0.08875,-100,-28.5721,-101.2,99.2596,0.442162,-1.19199,0.253624,1.63562,
0.09,-100,-27.0659,-102.786,101.536,0.44812,-1.21319,0.259323,1.62258,
0.09125,-100,-25.5324,-104.345,103.738,0.453917,-1.23424,0.265022,1.60941,
0.0925,-100,-23.9745,-105.876,105.869,0.459552,-1.25512,0.270719,1.59612,
0.09375,-100,-22.3948,-107.38,107.93,0.46502,-1.27583,0.276412,1.58271,
0.095,-100,-20.7963,-108.855,109.923,0.470322,-1.29638,0.282099,1.56919,
0.09625,-100,-19.1818,-110.303,111.851,0.475452,-1.31676,0.287778,1.55557,
0.0975,-100,-17.5539,-111.722,113.715,0.480411,-1.33696,0.293446,1.54184,
0.09875,-100,-15.9156,-113.113,115.517,0.485195,-1.35698,0.299103,1.52803,
0.1,-100,-14.2695,-114.475,117.259,0.489803,-1.37682,0.304747,1.51414,
0.10125,-100,-12.6184,-115.807,118.944,0.494231,-1.39648,0.310375,1.50017,
0.1025,-100,-10.9648,-117.11,120.572,0.498479,-1.41596,0.315987,1.48612,
0.10375,-100,-9.31161,-118.382,122.146,0.502543,-1.43524,0.32158,1.47202,
0.105,-100,-7.66125,-119.624,123.668,0.506423,-1.45434,0.327153,1.45785,
0.10625,-100,-6.01632,-120.835,125.138,0.510115,-1.47324,0.332705,1.44364,
0.1075,-100,-4.37932,-122.015,126.559,0.513619,-1.49194,0.338235,1.42937,
0.10875,-100,-2.7527,-123.162,127.933,0.516932,-1.51045,0.343741,1.41507,
0.11,-100,-1.13886,-124.277,129.259,0.520053,-1.52876,0.349222,1.40074,
0.11125,-100,0.459871,-125.358,130.541,0.52298,-1.54687,0.354676,1.38637,
0.1125,-100,2.04122,-126.406,131.778,0.525711,-1.56477,0.360104,1.37199,
0.11375,-100,3.60299,-127.419,132.973,0.528244,-1.58246,0.365503,1.35759,
0.115,-100,5.14303,-128.397,134.127,0.530578,-1.59995,0.370873,1.34318,
0.11625,-100,6.65926,-129.34,135.239,0.532711,-1.61723,0.376213,1.32876,
0.1175,-100,8.14972,-130.246,136.312,0.534643,-1.6343,0.381522,1.31434,
0.11875,-100,9.61244,-131.115,137.347,0.536371,-1.65115,0.3868,1.29993,
0.12,-100,11.0456,-131.947,138.343,0.537894,-1.66779,0.392045,1.28553,
0.12125,-100,12.4474,-132.74,139.302,0.539211,-1.68422,0.397258,1.27114,
0.1225,-100,13.8162,-133.494,140.225,0.54032,-1.70042,0.402438,1.25678,
0.12375,-100,15.1504,-134.209,141.111,0.541221,-1.71641,0.407584,1.24244,
0.125,-100,16.4483,-134.884,141.963,0.541913,-1.73218,0.412696,1.22813,
0.12625,-100,17.7087,-135.519,142.779,0.542393,-1.74772,0.417774,1.21385,
0.1275,-100,18.93,-136.112,143.561,0.542662,-1.76304,0.422818,1.19961,
0.12875,-100,20.111,-136.664,144.308,0.542718,-1.77814,0.427827,1.18542,
0.13,-100,21.2506,-137.174,145.022,0.54256,-1.79301,0.432801,1.17127,
0.13125,-100,22.3475,-137.641,145.703,0.542188,-1.80766,0.437741,1.15717,
0.1325,-100,23.4008,-138.066,146.35,0.541602,-1.82208,0.442647,1.14313,
0.13375,-100,24.4094,-138.448,146.964,0.540799,-1.83627,0.447518,1.12915,
0.135,-100,25.3726,-138.787,147.545,0.53978,-1.85023,0.452356,1.11523,
0.13625,-98.9764,26.3558,-138.314,147.842,0.538544,-1.86395,0.45716,1.10138,
0.1375,-96.1989,27.3908,-136.447,147.664,0.537093,-1.87745,0.46193,1.08759,
0.13875,-93.4862,28.3532,-134.539,147.447,0.535428,-1.89072,0.466663,1.07388,
0.14,-90.8368,29.2445,-132.592,147.191,0.533553,-1.90376,0.471357,1.06025,
0.14125,-88.2492,30.0658,-130.607,146.895,0.531471,-1.91656,0.476009,1.04669,
0.1425,-85.7216,30.8185,-128.586,146.559,0.529184,-1.92914,0.480616,1.03322,
0.14375,-83.2521,31.504,-126.528,146.181,0.526697,-1.94149,0.485179,1.01983,
0.145,-80.8389,32.1239,-124.437,145.763,0.524012,-1.95361,0.489693,1.00654,
0.14625,-78.48,32.6798,-122.314,145.303,0.521133,-1.9655,0.494159,0.993337,
0.1475,-76.1736,33.1733,-120.159,144.801,0.518062,-1.97717,0.498575,0.980231,
0.14875,-73.9175,33.6061,-117.975,144.258,0.514804,-1.9886,0.502939,0.967223,
0.15,-71.7098,33.9802,-115.763,143.672,0.511362,-1.99982,0.50725,0.954316,
0.15125,-69.5484,34.2971,-113.524,143.046,0.507738,-2.01081,0.511509,0.941512,
0.1525,-67.4315,34.5589,-111.261,142.378,0.503937,-2.02157,0.515713,0.928814,
0.15375,-65.3569,34.7673,-108.974,141.67,0.499963,-2.03212,0.519864,0.916224,
0.155,-63.3228,34.9242,-106.666,140.921,0.495818,-2.04244,0.52396,0.903744,
0.15625,-61.3272,35.0317,-104.337,140.132,0.491506,-2.05254,0.528001,0.891377,
